Period,Period1,Type,Revision,Location,Integrated,Values
01-01-24,Jan-24,FTE,V32,Almaty,All,2.00
01-01-24,Jan-24,FTE,V32,Almaty,Integrated,0.00
01-01-24,Jan-24,FTE,V32,Almaty,Non-Integrated,2.00
01-01-24,Jan-24,FTE,V32,Atyrau,All,130.89
01-01-24,Jan-24,FTE,V32,Atyrau,Integrated,13.00
01-01-24,Jan-24,FTE,V32,Atyrau,Non-Integrated,117.89
01-01-24,Jan-24,FTE,V32,Farnborough,All,25.39
01-01-24,Jan-24,FTE,V32,Farnborough,Integrated,0.85
01-01-24,Jan-24,FTE,V32,Farnborough,Non-Integrated,24.54
01-01-24,Jan-24,FTE,V32,New Delhi,All,0.50
01-01-24,Jan-24,FTE,V32,New Delhi,Integrated,0.00
01-01-24,Jan-24,FTE,V32,New Delhi,Non-Integrated,0.50
01-01-24,Jan-24,FTE,V32,Offshore Other,All,0.10
01-01-24,Jan-24,FTE,V32,Offshore Other,Integrated,0.00
01-01-24,Jan-24,FTE,V32,Offshore Other,Non-Integrated,0.10
01-01-24,Jan-24,FTE,V32,Tengiz,All,154.00
01-01-24,Jan-24,FTE,V32,Tengiz,Integrated,117.50
01-01-24,Jan-24,FTE,V32,Tengiz,Non-Integrated,36.50
02-01-24,Feb-24,FTE,V32,Almaty,All,2.00
02-01-24,Feb-24,FTE,V32,Almaty,Integrated,0.00
02-01-24,Feb-24,FTE,V32,Almaty,Non-Integrated,2.00
02-01-24,Feb-24,FTE,V32,Atyrau,All,129.00
02-01-24,Feb-24,FTE,V32,Atyrau,Integrated,13.00
02-01-24,Feb-24,FTE,V32,Atyrau,Non-Integrated,116.00
02-01-24,Feb-24,FTE,V32,Farnborough,All,25.39
02-01-24,Feb-24,FTE,V32,Farnborough,Integrated,0.85
02-01-24,Feb-24,FTE,V32,Farnborough,Non-Integrated,24.54
02-01-24,Feb-24,FTE,V32,New Delhi,All,0.50
02-01-24,Feb-24,FTE,V32,New Delhi,Integrated,0.00
02-01-24,Feb-24,FTE,V32,New Delhi,Non-Integrated,0.50
02-01-24,Feb-24,FTE,V32,Offshore Other,All,0.10
02-01-24,Feb-24,FTE,V32,Offshore Other,Integrated,0.00
02-01-24,Feb-24,FTE,V32,Offshore Other,Non-Integrated,0.10
02-01-24,Feb-24,FTE,V32,Tengiz,All,151.50
02-01-24,Feb-24,FTE,V32,Tengiz,Integrated,116.00
02-01-24,Feb-24,FTE,V32,Tengiz,Non-Integrated,35.50
03-01-24,Mar-24,FTE,V32,Almaty,All,2.00
03-01-24,Mar-24,FTE,V32,Almaty,Integrated,0.00
03-01-24,Mar-24,FTE,V32,Almaty,Non-Integrated,2.00
